Informe de palabras clave de búsqueda
26 de marzo de 2026 - 24 de agosto de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,Interacciones,Porcentaje de interacción,Código de moneda,Costo prom.,Costo,CTR,Nivel de calidad,Porcentaje de impr. de búsqueda,% impr. perdidas de la Búsqueda (ranking),Código de moneda convertida,Est. de oferta de primera página,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,"""contratar corrector de estilo""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,0,0, --,COP,0,0.00, --, --,< 10%,66.67%,COP, --,0.00%,0.00,0.00
Habilitado,corrector de estilo,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,"2,653",131,4.94%,COP,1166.05,152753.03,4.94%,4,< 10%,75.96%,COP, --,12.98%,17.00,8985.47
Habilitado,revisión de manuscritos,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,49,4,8.16%,COP,1420.25,5681.00,8.16%, --,22.64%,67.92%,COP, --,0.00%,0.00,0.00
Habilitado,servicios editoriales corrección,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,320,26,8.13%,COP,1484.04,38584.92,8.13%, --,13.89%,75.59%,COP, --,19.23%,5.00,7716.98
Habilitado,corrector de ortografía y estilo,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,"2,311",77,3.33%,COP,951.98,73302.44,3.33%, --,< 10%,72.89%,COP, --,7.79%,6.00,12217.07
Habilitado,servicios de corrección literaria,Concordancia amplia,Jun-2025,Grupo de anuncios 1,No apta,publicación limitada,,0,0, --,COP,0,0.00, --, --, --, --,COP, --,0.00%,0.00,0.00
Habilitado,"""presupuesto corrección de textos""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,No apta,publicación limitada,,0,0, --,COP,0,0.00, --, --, --, --,COP, --,0.00%,0.00,0.00
Habilitado,Corrección estilo,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,43,0,0.00%,COP,0,0.00,0.00%, --,< 10%,82.61%,COP, --,0.00%,0.00,0.00
Habilitado,corrector de estilo y redacción,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,"2,142",108,5.04%,COP,1139.13,123026.02,5.04%, --,< 10%,79.67%,COP, --,10.19%,11.00,11184.18
Habilitado,correctores de libros,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,"1,911",79,4.13%,COP,1351.83,106794.50,4.13%,7,< 10%,74.59%,COP, --,15.19%,12.00,8899.54
Habilitado,"""corrector de textos literarios""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,0,0, --,COP,0,0.00, --, --,< 10%,> 90%,COP, --,0.00%,0.00,0.00
Habilitado,corrección de estilo,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,546,18,3.30%,COP,886.73,15961.12,3.30%, --,< 10%,71.78%,COP, --,16.67%,3.00,5320.37
Habilitado,"""corrector de ortografía y estilo""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,"1,316",119,9.04%,COP,917.21,109148.46,9.04%, --,< 10%,79.24%,COP, --,14.29%,17.00,6420.50
Habilitado,"""corrección de novelas""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,0,0, --,COP,0,0.00, --, --,< 10%,> 90%,COP, --,0.00%,0.00,0.00
Habilitado,"""tarifas de corrección de estilo""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,No apta,publicación limitada,,0,0, --,COP,0,0.00, --, --, --, --,COP, --,0.00%,0.00,0.00
Habilitado,"""revision de estilo""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,135,18,13.33%,COP,1286.29,23153.22,13.33%,3,13.08%,76.16%,COP, --,5.56%,1.00,23153.22
Habilitado,revision de estilo,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,38,3,7.89%,COP,1050.86,3152.59,7.89%,3,< 10%,79.12%,COP, --,33.33%,1.00,3152.59
Habilitado,corrección de estilo literario,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,248,4,1.61%,COP,201.75,807.00,1.61%, --,< 10%,67.01%,COP, --,25.00%,1.00,807.00
Habilitado,"""Corrección estilo""",Concordancia de frase,Jun-2025,Grupo de anuncios 1,Apta,,,17,3,17.65%,COP,1500.67,4502.00,17.65%, --,12.35%,71.60%,COP, --,0.00%,0.00,0.00
Habilitado,corrector de redacción,Concordancia amplia,Jun-2025,Grupo de anuncios 1,Apta,,,155,9,5.81%,COP,1073.60,9662.37,5.81%, --,< 10%,89.55%,COP, --,11.11%,1.00,9662.37
 --,,"Total: Todas las palabras clave, excepto las quitadas", --, --, --,,,"11,884",599,5.04%,COP,1112.74,666528.66,5.04%, --,< 10%,76.86%,COP, --,12.52%,75.00,8887.05
