Informe de términos de búsqueda
26 de marzo de 2026 - 24 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Agregadas/excluidas,Campaña,Grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Tipo de campaña,Porcentaje de conv.,Conversiones,Costo/conv.
corregir gramática,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
consejo de redacción,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo escribir un párrafo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
autopublicación,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de redaccion y ortografia,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
elaboracion de un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
aplicación para corregir escritura,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
literatura,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,18,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
esta bien escrito esto,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
narrativa,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,4,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
definir directamente,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
sudowrite,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,14,7.14%,COP,952.00,952.00,Búsqueda,0.00%,0.00,0.00
componer oraciones,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
qué es gramática,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escritora profesional,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
aplicaciones para publicar libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
elaboración de libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,5,20.00%,COP,2003.00,2003.00,Búsqueda,0.00%,0.00,0.00
abccorrector,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
arreglar texto,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,7,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo mejorar mi redacción,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir redaccion y ortografia,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
consejos para escribir un buen libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo escribir una crónica,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
smodin autor,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
quiero publicar un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,4,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
qué es un autor,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
letra minúscula editorial,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
los escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,24,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
mala ortografía,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
correcciones y escritos,Concordancia exacta (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,5,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de redacción,Concordancia exacta (variante cercana),Agregado,Jun-2025,Grupo de anuncios 1,3,5,60.00%,COP,745.91,2237.72,Búsqueda,33.33%,1.00,2237.72
cómo redactar un escrito,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
volta editorial,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
talleres de ortografía,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
donde poner punto y coma en un texto,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cohesive so,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,2,50.00%,COP,983.31,983.31,Búsqueda,0.00%,0.00,0.00
mejor corrector de ortografia,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir escritura,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
autoreseditores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de tildes y comas,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
aplicación para corregir,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escritor de libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregír,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editores y escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
redaccion y ortografia,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,14,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
letras de ortografia,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escribir en un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
introducción,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,1,2,50.00%,COP,3309.00,3309.00,Búsqueda,100.00%,1.00,3309.00
quiero crear un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
aser una historia,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrigiendo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
arreglador,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
acomodar texto,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,1,1,100.00%,COP,576.00,576.00,Búsqueda,0.00%,0.00,0.00
libros de escritura creativa,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
buscar corrector de ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,2,2,100.00%,COP,768.75,1537.50,Búsqueda,0.00%,0.00,0.00
escritora,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,7,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
publicar libros,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,2,50.00%,COP,2081.50,2081.50,Búsqueda,0.00%,0.00,0.00
montar un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
el punto y coma,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
comunicacion escrita,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,5,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escribir correctamente un texto,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
aspectos formales dela escritura,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
tips para empezar a escribir un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
parrafos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corregir la escritura,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,2,50.00%,COP,576.09,576.09,Búsqueda,0.00%,0.00,0.00
ellipsus,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
editoriales,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,6,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
taller sobre textos narrativos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
texto expositivo,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
how to write a book,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo puedo escribir mejor,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
talleres de redacción y ortografía,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,1,100.00%,COP,517.00,517.00,Búsqueda,0.00%,0.00,0.00
punctuation,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,11,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
inkspired,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,4,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrígeme la ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,4,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
parrafo para escribir,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
humbot,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escribir articulos,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
ayúdame a escribir,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,6,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
redaccione,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
preposición,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,1,3,33.33%,COP,2386.00,2386.00,Búsqueda,0.00%,0.00,0.00
comas automaticas,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de caligrafía y ortografía,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
my stylus ai,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
wordvice,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,2,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de ortografia tildes y comas,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
escritores,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,200,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
ayúdame a escribir un nuevo libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,3,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
proceso para publicar un libro,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
retorica busco,IA Max,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de estilo editorial,Concordancia amplia,Ninguna,Jun-2025,Grupo de anuncios 1,0,1,0.00%,COP,0,0.00,Búsqueda,0.00%,0.00,0.00
corrector de comas,Concordancia de frase (variante cercana),Ninguna,Jun-2025,Grupo de anuncios 1,1,3,33.33%,COP,537.00,537.00,Búsqueda,100.00%,1.00,537.00
